	SFB_v_GF_CD11b-CD103-	SFB_v_GF_CD11b-CD103+	SFB_v_GF_CD11b+CD103-	SFB_v_GF_CD11b+CD103+	SFB_v_GF_Monocyte	SFB_v_GF_Macrophage	SFB_v_GF_CCR6-ILC3	SFB_v_GF_CCR6+ILC3	SFB_v_GF_SCA+CCR6+ILC3	DKO_v_JAX_3day_CCR6-ILC3	DKO_v_JAX_3day_CCR6+ILC3	DKO_v_JAX_eday_SCA+CCR6+ILC3
Olfr320	         0	         0	         0	         0	         0	         0	-0.0012072	 0.0025572	 0.0012206	0.00045338	    1.5657	0.00018532
Olfr399	         0	         0	         0	         0	         0	         0	-0.0012072	 0.0025572	 0.0012206	0.00045338	    1.5657	0.00018532
Asb12	         0	         0	         0	         0	         0	         0	-0.0011504	 0.0024367	  0.001162	 0.0004316	    1.5695	0.00017631
Mir6349	         0	         0	         0	         0	         0	         0	-0.0011504	 0.0024367	  0.001162	 0.0004316	    1.5695	0.00017631
Mir466g	         0	         0	         0	         0	         0	         0	-0.0011781	 0.0024955	 0.0011906	0.00044222	    1.5676	 0.0001807
Olfr340	         0	         0	         0	         0	         0	         0	-0.0011781	 0.0024955	 0.0011906	0.00044222	    1.5676	 0.0001807
Ceacam12	          0	          0	          0	          0	          0	          0	-0.00094977	  0.0020108	 0.00095582	 0.00035494	     1.5827	 0.00014469
Gm6083	         0	         0	         0	         0	         0	         0	-0.0010084	 0.0021352	 0.0010159	0.00037727	    1.5789	0.00015389
Vmn2r2	         0	         0	         0	         0	         0	         0	-0.0010084	 0.0021352	 0.0010159	0.00037727	    1.5789	0.00015389
Olfr1132	          0	          0	          0	          0	          0	          0	-0.00098806	   0.002092	 0.00099504	 0.00036952	     1.5802	 0.00015069
Olfr1490	          0	          0	          0	          0	          0	          0	-0.00098806	   0.002092	 0.00099504	 0.00036952	     1.5802	 0.00015069
Olfr983	          0	          0	          0	          0	          0	          0	-0.00098806	   0.002092	 0.00099504	 0.00036952	     1.5802	 0.00015069
Celrr	         0	         0	         0	         0	         0	         0	 -0.001124	 0.0023807	 0.0011348	0.00042148	    1.5712	0.00017213
Gm9696	         0	         0	         0	         0	         0	         0	-0.0010988	 0.0023271	 0.0011088	0.00041182	    1.5729	0.00016814
Olfr905	         0	         0	         0	         0	         0	         0	-0.0010988	 0.0023271	 0.0011088	0.00041182	    1.5729	0.00016814
Ssxb9	         0	         0	         0	         0	         0	         0	-0.0010988	 0.0023271	 0.0011088	0.00041182	    1.5729	0.00016814
Cox8c	         0	         0	         0	         0	         0	         0	-0.0010517	  0.002227	 0.0010603	0.00039379	     1.576	 0.0001607
Olfr1018	         0	         0	         0	         0	         0	         0	-0.0010517	  0.002227	 0.0010603	0.00039379	     1.576	 0.0001607
Vmn2r73	         0	         0	         0	         0	         0	         0	-0.0010517	  0.002227	 0.0010603	0.00039379	     1.576	 0.0001607
Olfr1179	         0	         0	         0	         0	         0	         0	-0.0010747	  0.002276	  0.001084	 0.0004026	    1.5745	0.00016434
Olfr284	         0	         0	         0	         0	         0	         0	-0.0010747	  0.002276	  0.001084	 0.0004026	    1.5745	0.00016434
Apoh	-0.0046482	-0.0044746	-0.0053015	-0.0048372	-0.0044363	-0.0042371	-0.0011781	 0.0024955	 0.0011906	0.00044222	    1.5676	 0.0001807
