	Hh_v_GF_CD11b-CD103-	Hh_v_GF_CD11b-CD103+	Hh_v_GF_CD11b+CD103-	Hh_v_GF_CD11b+CD103+	Hh_v_GF_Monocyte	Hh_v_GF_Macrophage	SFB_v_GF_CD11b-CD103-	SFB_v_GF_CD11b-CD103+	SFB_v_GF_CD11b+CD103-	SFB_v_GF_CD11b+CD103+	SFB_v_GF_Monocyte	SFB_v_GF_Macrophage	SFB_v_GF_CCR6-ILC3	SFB_v_GF_CCR6+ILC3	SFB_v_GF_SCA+CCR6+ILC3	DKO_v_JAX_3day_CCR6-ILC3	DKO_v_JAX_3day_CCR6+ILC3	DKO_v_JAX_eday_SCA+CCR6+ILC3
Mageb5	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	-0.0059013	    0.9858	 0.0069147	 0.0025872	  0.025316	 0.0011573
Vmn1r62	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	-0.0059013	    0.9858	 0.0069147	 0.0025872	  0.025316	 0.0011573
Gm12191	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	  0.034518	  0.035576	  0.039562	  0.036268	   0.13594	  0.037256	 -0.012849	   0.72826	   0.01568	 0.0058824	  0.028531	 0.0012735
Mir137	        0	        0	        0	        0	        0	        0	        0	        0	        0	        0	        0	        0	-0.012849	  0.72826	  0.01568	0.0058824	 0.028531	0.0012735
Olfr1415	        0	        0	        0	        0	        0	        0	        0	        0	        0	        0	        0	        0	-0.012849	  0.72826	  0.01568	0.0058824	 0.028531	0.0012735
Gm14440	 0.0012295	   -0.1346	 0.0016338	0.00061152	  0.084367	 0.0014256	  0.042075	   0.12092	  0.047196	  0.043908	  0.042805	   0.13915	 -0.012849	   0.72826	   0.01568	 0.0058824	  0.028531	 0.0012735
Rfx4	0.00019773	  0.045245	0.00017302	7.1815e-05	  0.051109	  0.052565	  0.035183	 -0.085986	 -0.085039	 -0.085685	 -0.085455	 -0.085739	   0.15804	    0.8764	  0.047435	 -0.072999	 -0.069135	 -0.030096
Gm20747	  -0.30675	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	  0.067309	  0.076568	  0.080554	   0.07726	   0.07869	  0.078249	 -0.012849	   0.72826	   0.01568	 0.0058824	  0.028531	 0.0012735
Myot	  -0.082862	  0.0043122	  0.0016338	 0.00061152	 -0.0012639	   -0.22202	 -0.0039784	-0.00050818	  0.0034804	 -0.0026865	  0.0016165	 -0.0051899	  -0.037127	    0.73713	   0.041282	 0.00022271	    0.26454	 9.0259e-05
Foxd3	   0.17207	 0.0043122	 0.0016338	  -0.20152	-0.0012639	  0.004474	  0.084164	  0.090104	   0.09409	   0.08513	  0.092226	  0.091785	-0.0026671	   0.64868	 0.0027774	 0.0010333	   0.26137	0.00042965
Hhla1	 0.0026261	   0.10538	   -0.2005	0.00061152	-0.0012639	  0.004474	  0.074909	  0.073138	  0.074296	  0.076659	  0.078089	  0.077648	-0.0001369	   0.57829	  0.021933	5.0386e-05	   0.14776	2.0373e-05
Gm14391	 0.0023841	 0.0042787	 0.0016338	0.00061152	-0.0012639	 0.0022521	  0.091976	   0.19126	  0.097027	  0.093733	    0.1934	   0.28043	 -0.012849	   0.72826	   0.01568	 0.0058824	  0.028531	 0.0012735
Mir5129	  0.043319	0.00067214	 0.0032171	  -0.15144	  0.086561	  0.097328	    0.1377	    0.1381	     0.138	   0.17515	   0.20938	   0.24915	-0.0017413	   0.72909	 0.0017787	 -0.091789	 0.0047657	   0.12567
Gsta2	 0.00014307	   -0.12875	    -0.3484	 4.8854e-05	-7.6888e-05	   0.032384	   0.062483	   0.062325	   0.062185	   0.062563	    0.06265	    0.06261	-0.00018134	     1.0232	    0.10858	 6.6789e-05	 -0.0085169	 2.7015e-05
Mir6546	 0.00019332	  0.0003658	  -0.051978	 6.7203e-05	    0.19076	  -0.033468	  -0.018763	  -0.018652	  -0.018814	  -0.018576	  -0.019174	  -0.018703	-0.00074116	    0.81819	    0.31268	   -0.26241	  0.0020887	 0.00011222
Rufy4	-0.029739	-0.038712	-0.034818	1.504e-05	   0.3594	-0.045976	 0.095593	 0.095612	 0.095697	 0.095646	 0.095485	 0.095609	 0.017369	   1.0681	  0.10076	 -0.32709	  0.26763	0.0070363
Cebpz	 0.045789	 0.054954	  0.12382	-0.046262	-0.051835	-0.095744	  0.10146	 0.057745	  0.20678	 0.070766	  0.17366	 0.033566	 0.094156	  0.68575	  0.15419	 -0.12702	-0.056045	 -0.24035
Jak1	 0.086561	   0.2056	 0.080991	 0.052552	  0.16225	 -0.10913	  0.15238	-0.011339	 0.074631	  0.19469	  0.19441	  0.20216	  0.29582	  0.70499	  0.26564	    -0.17	 -0.11284	-0.037053
Qars	  0.037728	 -0.059755	   0.07009	  0.043659	  -0.22427	   0.07937	 -0.098967	 -0.016402	   0.13819	-0.0032473	 -0.074622	 -0.033501	    0.3467	   0.98817	 -0.051163	   0.13772	   0.21147	 -0.076739
Stmnd1	  0.0003576	 0.00066138	 0.00026014	    0.13476	-0.00016319	  -0.057959	  -0.059039	  -0.058842	  -0.057158	  -0.059587	   0.093769	  -0.059364	     0.2709	     1.1083	 0.00065527	   -0.15527	   0.067803	 9.8867e-05
Rhcg	   -0.20933	  0.0043122	  0.0016338	 0.00061152	-0.00075962	   0.004474	  -0.081658	  -0.075015	  -0.071026	   -0.07432	  -0.077881	  -0.073331	     0.5674	    0.71844	 0.00084845	 0.00031497	    0.16696	   0.029298
Atad2b	-0.059429	 -0.16783	  0.19431	0.0023281	-0.055344	 -0.18194	 0.017968	 0.020327	 -0.02877	-0.054928	  0.16355	 0.019276	-0.049615	  0.44638	  -0.1308	 -0.07824	  -0.4386	 -0.20981
Psma4	  -0.23031	  -0.25887	   0.19147	  -0.12657	  -0.11512	  -0.12347	  0.065718	   0.12346	  0.021775	   0.07839	   0.12266	 -0.086361	   0.12219	   0.79744	 -0.069466	-0.0016335	  -0.27431	  -0.12751
Birc6	-0.026184	 0.011402	 0.063278	 -0.20501	-0.081815	 -0.14203	-0.017329	-0.043577	 -0.10695	 -0.11108	  0.14665	 0.038838	0.0049416	  0.67134	 0.049308	  0.03562	 -0.33034	 0.059404
Olfr495	  0.0026261	  0.0043122	  0.0016338	 0.00061152	   -0.10233	    -0.1859	   0.072559	   0.073617	   0.077603	   0.074309	    0.07291	   0.069969	-0.00011123	    0.78857	  0.0001103	  0.0057217	   -0.49279	 1.6544e-05
Snrpb2	-0.018553	 -0.19394	 0.053837	-0.084054	 -0.19658	 -0.10769	0.0010281	-0.031773	  0.10712	  0.11504	 0.029269	  0.29528	 0.074773	  0.81861	  0.17212	-0.035979	 -0.31336	 -0.10079
