		GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_up	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_down	GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_down	GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up
		25	56	36	24	86	73	82	67	70	68	60	73
GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC1_FDR10_down	30	3	3	6	6	15	9	13	14	1	4	8	3
GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC1_FDR10_up	65	12	24	4	28	8	33	19	33	14	13	3	17
GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC1_FDR10_down	22	3	3	4	4	1	3	8	7	2	3	3	2
GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC1_FDR10_up	43	3	16	1	5	3	31	11	25	5	25	0	16
GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_down	83	14	7	15	13	20	9	23	17	11	18	7	6
GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC1_FDR10_up	110	12	40	2	39	9	48	12	49	16	38	13	38
GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_down	159	11	13	18	32	29	29	27	31	29	27	23	18
GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC1_FDR10_up	120	7	36	33	38	32	52	32	51	34	29	41	34
GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_down	57	2	10	1	15	2	10	5	13	0	7	2	8
GF_LI_Macrophages_v_GF_SI_Macrophages_FC1_FDR10_up	38	1	3	5	13	7	16	1	21	1	14	0	13
GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_down	4	0	4	0	6	1	5	0	5	0	5	0	4
GF_LI_Monocytes_v_GF_SI_Monocytes_FC1_FDR10_up	20	4	2	1	3	16	8	3	15	4	5	2	11
Macrophages_v_Monocytes_FC1_FDR10_down	83	46	59	41	50	51	55	56	60	54	57	50	63
Macrophages_v_Monocytes_FC1_FDR10_up	257	21	48	23	51	27	59	46	83	31	54	37	50
