		GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_down	GF_LI_CD11bmCD103m_v_GF_SI_CD11bmCD103m_FC0p58_FDR25_up	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_down	GF_LI_CD11bmCD103p_v_GF_SI_CD11bmCD103p_FC0p58_FDR25_up	GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_down	GF_LI_CD11bpCD103m_v_GF_SI_CD11bpCD103m_FC0p58_FDR25_up	GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_down	GF_LI_CD11bpCD103p_v_GF_SI_CD11bpCD103p_FC0p58_FDR25_up	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_down	GF_LI_Macrophage_v_GF_SI_Macrophage_FC0p58_FDR25_up	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_down	GF_LI_Monocyte_v_GF_SI_Monocyte_FC0p58_FDR25_up
		53	70	51	41	105	90	109	90	98	82	82	85
GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_down	190	45	48	36	53	54	60	88	53	30	63	40	56
GF_LI_CD103p_DC_v_GF_SI_CD103p_DC_FC0p58_FDR25_up	233	38	103	44	111	69	128	74	125	74	92	57	84
GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_down	143	28	32	32	26	27	31	34	50	27	38	32	47
GF_LI_CD11bmCD103m_DC_v_GF_SI_CD11bmCD103m_DC_FC0p58_FDR25_up	172	29	59	40	59	50	85	57	94	53	61	54	69
GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC0p58_FDR25_down	226	66	52	67	64	109	96	98	105	85	67	76	67
GF_LI_CD11bpCD103p_DC_v_GF_SI_CD11bpCD103p_DC_FC0p58_FDR25_up	253	37	65	29	82	38	94	37	100	42	72	63	70
GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_down	452	108	103	86	139	135	133	135	152	117	112	121	95
GF_LI_CD11bp_DC_v_GF_SI_CD11bp_DC_FC0p58_FDR25_up	287	78	141	78	146	115	174	106	181	102	151	110	135
GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_down	202	26	49	32	59	26	48	34	57	25	43	19	37
GF_LI_Macrophages_v_GF_SI_Macrophages_FC0p58_FDR25_up	140	23	38	39	59	69	77	61	81	51	67	53	45
GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_down	59	11	9	5	12	7	17	15	23	5	16	4	13
GF_LI_Monocytes_v_GF_SI_Monocytes_FC0p58_FDR25_up	64	36	37	41	20	59	42	50	57	54	38	34	37
