	Bcl6	Fos	Hivep2	Hlx	Hsf1	Hsf2	Irf1	Irf2	Irf3	Irf4	Irf8	Irf9	Junb	Nfkb1	Rela	Rest	Smarcc1	Srf	Stat1	Stat2	Stat3	Tgif1
Abca9	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0
Acsf2	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adamts2	0	0	0	0	0	0	-0.25	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	-0.25	0	0
Aebp1	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	0	0
Agpat4	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
Ai467606	0	0	0	0	0	0	-0.25	0	0	0	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0
Aig1	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
Apobec1	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0
Arhgap10	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0
Arhgap22	-0.25	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	0	0	-0.25	0	-0.25	0	0
Asap2	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atf3	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	0
Athl1	-0.25	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0
C3	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	-0.25	-0.25	0	0	0
