		GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_down	GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_up	GF_LI_CD11bmCD103p_v_Hh_LI_CD11bmCD103p_FC1_FDR10_down	GF_LI_CD11bmCD103p_v_Hh_LI_CD11bmCD103p_FC1_FDR10_up	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_down	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_up	GF_LI_CD11bpCD103p_v_Hh_LI_CD11bpCD103p_FC1_FDR10_down	GF_LI_CD11bpCD103p_v_Hh_LI_CD11bpCD103p_FC1_FDR10_up	GF_LI_Macrophage_v_Hh_LI_Macrophage_FC1_FDR10_down	GF_LI_Macrophage_v_Hh_LI_Macrophage_FC1_FDR10_up	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_down	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up
		0	2	1	1	1	6	10	1	0	3	20	23
GF_LI_CD103p_DC_v_HHd14_LI_CD103p_DC_FC0p58_FDR25_down	210	5	3	8	0	5	1	16	1	0	0	19	3
GF_LI_CD103p_DC_v_HHd14_LI_CD103p_DC_FC0p58_FDR25_up	252	2	2	2	1	1	0	19	4	1	0	13	9
GF_LI_CD103p_v_HHd14_LI_CD103p_FC0p58_FDR25_down	205	2	4	1	0	5	1	15	3	0	0	9	4
GF_LI_CD103p_v_HHd14_LI_CD103p_FC0p58_FDR25_up	246	3	3	2	1	0	0	19	2	1	0	14	7
GF_LI_CD11bmCD103m_DC_v_HHd14_LI_CD11bmCD103m_DC_FC0p58_FDR25_down	3	0	0	0	0	0	0	0	0	0	0	0	0
GF_LI_CD11bmCD103m_DC_v_HHd14_LI_CD11bmCD103m_DC_FC0p58_FDR25_up	10	0	0	0	0	0	4	0	0	0	0	0	0
GF_LI_CD11bmCD103m_v_HHd14_LI_CD11bmCD103m_FC0p58_FDR25_down	3	0	0	0	0	0	0	0	0	0	0	0	0
GF_LI_CD11bmCD103m_v_HHd14_LI_CD11bmCD103m_FC0p58_FDR25_up	10	0	0	0	0	0	4	0	0	0	0	0	0
GF_LI_CD11bpCD103p_DC_v_HHd14_LI_CD11bpCD103p_DC_FC0p58_FDR25_down	0	0	0	0	0	0	0	0	0	0	0	0	0
GF_LI_CD11bpCD103p_DC_v_HHd14_LI_CD11bpCD103p_DC_FC0p58_FDR25_up	19	0	0	0	0	0	0	0	0	0	0	0	0
GF_LI_CD11bpCD103p_v_HHd14_LI_CD11bpCD103p_FC0p58_FDR25_down	8	0	0	0	0	0	0	0	0	0	0	3	0
GF_LI_CD11bpCD103p_v_HHd14_LI_CD11bpCD103p_FC0p58_FDR25_up	0	0	0	0	0	0	0	0	0	0	0	0	0
GF_LI_CD11bp_DC_v_HHd14_LI_CD11bp_DC_FC0p58_FDR25_down	70	0	0	0	0	11	0	1	1	0	0	0	13
GF_LI_CD11bp_DC_v_HHd14_LI_CD11bp_DC_FC0p58_FDR25_up	48	0	0	0	0	0	0	0	0	0	0	10	0
GF_LI_CD11bp_v_HHd14_LI_CD11bp_FC0p58_FDR25_down	70	0	0	0	0	11	0	1	1	0	0	0	13
GF_LI_CD11bp_v_HHd14_LI_CD11bp_FC0p58_FDR25_up	51	0	0	0	0	0	0	0	0	0	0	10	0
GF_LI_Macrophages_v_HHd14_LI_Macrophages_FC0p58_FDR25_down	121	3	0	1	0	2	0	8	0	0	0	7	1
GF_LI_Macrophages_v_HHd14_LI_Macrophages_FC0p58_FDR25_up	103	0	4	0	2	0	0	1	3	1	0	0	2
GF_LI_Monocytes_v_HHd14_LI_Monocytes_FC0p58_FDR25_down	2	0	0	1	0	0	0	0	0	0	0	0	0
GF_LI_Monocytes_v_HHd14_LI_Monocytes_FC0p58_FDR25_up	120	1	4	7	0	2	4	19	0	2	0	8	21
