		GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_down	GF_LI_CD11bmCD103m_v_Hh_LI_CD11bmCD103m_FC1_FDR10_up	GF_LI_CD11bmCD103p_v_Hh_LI_CD11bmCD103p_FC1_FDR10_down	GF_LI_CD11bmCD103p_v_Hh_LI_CD11bmCD103p_FC1_FDR10_up	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_down	GF_LI_CD11bpCD103m_v_Hh_LI_CD11bpCD103m_FC1_FDR10_up	GF_LI_CD11bpCD103p_v_Hh_LI_CD11bpCD103p_FC1_FDR10_down	GF_LI_CD11bpCD103p_v_Hh_LI_CD11bpCD103p_FC1_FDR10_up	GF_LI_Macrophage_v_Hh_LI_Macrophage_FC1_FDR10_down	GF_LI_Macrophage_v_Hh_LI_Macrophage_FC1_FDR10_up	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_down	GF_LI_Monocyte_v_Hh_LI_Monocyte_FC1_FDR10_up
		1	3	4	3	5	10	17	9	0	3	29	36
GF_LI_CD103p_v_HHd14_LI_CD103p_FC1_FDR10_down	118	7	5	0	0	0	0	0	3	1	0	5	1
GF_LI_CD103p_v_HHd14_LI_CD103p_FC1_FDR10_up	84	0	2	1	0	2	0	5	0	0	0	11	0
GF_LI_CD11bmCD103m_v_HHd14_LI_CD11bmCD103m_FC1_FDR10_down	5	0	0	0	0	0	0	0	0	0	0	0	0
GF_LI_CD11bpCD103p_v_HHd14_LI_CD11bpCD103p_FC1_FDR10_down	2	0	0	0	0	0	0	0	0	0	0	4	0
GF_LI_CD11bp_v_HHd14_LI_CD11bp_FC1_FDR10_down	32	0	0	0	0	0	0	3	0	0	0	0	0
GF_LI_CD11bp_v_HHd14_LI_CD11bp_FC1_FDR10_up	15	0	0	0	0	0	0	0	0	0	0	0	0
GF_LI_Macrophages_v_HHd14_LI_Macrophages_FC1_FDR10_down	46	6	0	0	0	2	0	0	0	0	0	0	0
GF_LI_Macrophages_v_HHd14_LI_Macrophages_FC1_FDR10_up	23	0	0	0	3	0	0	1	2	0	0	2	0
GF_LI_Monocytes_v_HHd14_LI_Monocytes_FC1_FDR10_down	56	2	0	2	0	2	2	4	0	2	0	12	0
GF_LI_Monocytes_v_HHd14_LI_Monocytes_FC1_FDR10_up	141	8	6	0	0	11	0	7	0	0	0	3	24
