		GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_down	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up
		9	12	7	18	5	57	7	7	7	59	23	46
GF_SI_CD103p_DC_v_SFBd14_SI_CD103p_DC_FC0p58_FDR25_down	22	8	1	4	4	1	0	4	6	2	0	3	0
GF_SI_CD103p_DC_v_SFBd14_SI_CD103p_DC_FC0p58_FDR25_up	137	2	5	4	8	5	12	4	6	10	9	5	32
GF_SI_CD11bmCD103m_DC_v_SFBd14_SI_CD11bmCD103m_DC_FC0p58_FDR25_down	26	0	0	0	0	6	0	0	0	0	0	0	0
GF_SI_CD11bmCD103m_DC_v_SFBd14_SI_CD11bmCD103m_DC_FC0p58_FDR25_up	0	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_CD11bpCD103p_DC_v_SFBd14_SI_CD11bpCD103p_DC_FC0p58_FDR25_down	29	0	0	0	0	0	0	5	5	4	0	0	0
GF_SI_CD11bpCD103p_DC_v_SFBd14_SI_CD11bpCD103p_DC_FC0p58_FDR25_up	7	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_CD11bp_DC_v_SFBd14_SI_CD11bp_DC_FC0p58_FDR25_down	2	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_CD11bp_DC_v_SFBd14_SI_CD11bp_DC_FC0p58_FDR25_up	24	0	0	0	0	0	0	0	0	0	0	7	0
GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_down	79	5	4	1	2	13	31	27	4	2	11	4	17
GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC0p58_FDR25_up	309	23	2	15	15	28	16	10	4	63	15	15	20
GF_SI_Monocytes_v_SFBd14_SI_Monocytes_FC0p58_FDR25_down	146	2	1	1	3	2	0	3	7	2	1	3	8
GF_SI_Monocytes_v_SFBd14_SI_Monocytes_FC0p58_FDR25_up	140	0	3	1	4	10	12	10	9	28	0	10	5
