		GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_down	GF_SI_CD11bmCD103m_v_SFB_SI_CD11bmCD103m_FC1_FDR10_up	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_down	GF_SI_CD11bmCD103p_v_SFB_SI_CD11bmCD103p_FC1_FDR10_up	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_down	GF_SI_CD11bpCD103m_v_SFB_SI_CD11bpCD103m_FC1_FDR10_up	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_down	GF_SI_CD11bpCD103p_v_SFB_SI_CD11bpCD103p_FC1_FDR10_up	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_down	GF_SI_Macrophage_v_SFB_SI_Macrophage_FC1_FDR10_up	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_down	GF_SI_Monocyte_v_SFB_SI_Monocyte_FC1_FDR10_up
		6	5	1	10	0	42	2	4	1	30	8	32
GF_SI_CD103p_DC_v_SFBd14_SI_CD103p_DC_FC1_FDR10_down	19	11	1	1	1	0	0	0	1	0	0	0	1
GF_SI_CD103p_DC_v_SFBd14_SI_CD103p_DC_FC1_FDR10_up	27	0	5	0	5	0	5	0	5	0	5	4	5
GF_SI_CD11bmCD103m_DC_v_SFBd14_SI_CD11bmCD103m_DC_FC1_FDR10_down	1	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_CD11bpCD103p_DC_v_SFBd14_SI_CD11bpCD103p_DC_FC1_FDR10_down	5	0	0	0	0	0	0	0	0	1	0	0	0
GF_SI_CD11bpCD103p_DC_v_SFBd14_SI_CD11bpCD103p_DC_FC1_FDR10_up	0	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_CD11bp_DC_v_SFBd14_SI_CD11bp_DC_FC1_FDR10_down	1	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_CD11bp_DC_v_SFBd14_SI_CD11bp_DC_FC1_FDR10_up	2	0	0	0	0	0	0	0	0	0	0	0	0
GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC1_FDR10_down	7	0	0	0	0	4	0	0	0	0	1	0	1
GF_SI_Macrophages_v_SFBd14_SI_Macrophages_FC1_FDR10_up	96	3	0	2	4	4	2	0	0	5	0	1	0
GF_SI_Monocytes_v_SFBd14_SI_Monocytes_FC1_FDR10_down	19	0	1	0	0	0	1	0	2	0	1	0	0
GF_SI_Monocytes_v_SFBd14_SI_Monocytes_FC1_FDR10_up	7	0	0	2	0	0	0	0	0	0	0	0	0
